(0.98, 0.53)
(0.9793910125649561, 0.5474391184360313)
(0.9775670171853925, 0.5647932752400163)
(0.9745369001834514, 0.5819779227044398)
(0.9703154239845797, 0.5989093389542498)
(0.9649231551964771, 0.6155050358314171)
(0.9583863644106503, 0.6316841607689501)
(0.9507368982147317, 0.6473678906964727)
(0.9420120240391064, 0.6624798160583012)
(0.9322542485937368, 0.6769463130731183)
(0.9215111107797445, 0.6906969024216348)
(0.9098349500846628, 0.7036645926147493)
(0.8972826515897145, 0.7157862063693485)
(0.8839153688314145, 0.7270026884016805)
(0.8697982258676866, 0.7372593931387604)
(0.855, 0.7465063509461097)
(0.8395927866972693, 0.7546985115747917)
(0.823651648353978, 0.7617959636416969)
(0.8072542485937368, 0.7677641290737884)
(0.7904804738999169, 0.7725739315689991)
(0.7734120444167326, 0.7762019382530521)
(0.7561321158169133, 0.7786304738420684)
(0.7387248741756252, 0.779847706754774)
(0.7212751258243746, 0.779847706754774)
(0.7038678841830864, 0.7786304738420684)
(0.6865879555832672, 0.7762019382530521)
(0.6695195261000829, 0.7725739315689991)
(0.652745751406263, 0.7677641290737884)
(0.6363483516460219, 0.7617959636416969)
(0.6204072133027306, 0.7546985115747917)
(0.605, 0.7465063509461096)
(0.5902017741323132, 0.7372593931387604)
(0.5760846311685853, 0.7270026884016805)
(0.5627173484102853, 0.7157862063693485)
(0.5501650499153371, 0.7036645926147492)
(0.5384888892202554, 0.6906969024216347)
(0.527745751406263, 0.6769463130731181)
(0.5179879759608934, 0.6624798160583011)
(0.5092631017852681, 0.6473678906964725)
(0.5016136355893497, 0.6316841607689498)
(0.49507684480352276, 0.6155050358314169)
(0.48968457601542015, 0.5989093389542495)
(0.4854630998165485, 0.5819779227044395)
(0.48243298281460734, 0.564793275240016)
(0.4806089874350439, 0.547439118436031)
(0.48, 0.5299999999999996)
(0.480608987435044, 0.5125608815639682)
(0.48243298281460745, 0.4952067247599832)
(0.48546309981654867, 0.4780220772955597)
(0.4896845760154204, 0.4610906610457497)
(0.4950768448035231, 0.44449496416858225)
(0.50161363558935, 0.42831583923104943)
(0.5092631017852686, 0.4126321093035268)
